#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
     124    7504.6124     845.9873     366.6035     251.0199     214.0931     202.3124     172.6274     182.4473     254.7849    2283.5776     590.7943    1372.3571     768.0077
     125   10640.5115     585.9872     485.5584     454.7157     439.5260     369.4807     329.9718     295.7982     370.3516    4137.1643     757.0931    1479.0733     935.7912
     126    7879.1319     494.8762     312.0049     224.0878     199.9612     184.0235     199.6634     249.8973     471.6209    3250.0863     436.4610    1094.7538     761.6958
     127    6623.2474     312.9281     243.6669     267.7506     295.7506     254.2891     219.3202     251.6828     354.4094    2418.6288     433.1763    1013.1107     558.5339
     128    7450.9698     462.5924     363.9315     418.5820     336.2810     254.8088     290.8934     406.3047     308.9877    2503.4170     429.3674    1015.2964     660.5074
     129    9451.1332     470.5903     520.7380     399.2398     256.4786     193.0287     245.4186     354.8321     411.9286    3303.5126     599.3733    1570.5297    1125.4631
     130    9572.8374     480.8577     423.2400     308.8559     315.7748     308.1578     426.0571     394.8842     395.8136    3527.7056     758.4533    1277.1902     955.8473
     131    7509.3184     307.8960     202.1718     166.0502     181.6117     179.2148     182.4164     281.5194     412.8737    2942.9610     582.0919    1187.1334     883.3780
     132    8935.4857     335.5813     330.3728     261.3786     289.1800     416.9369     771.4501     541.8477     474.5511    2940.2759     547.0293    1090.0114     936.8707
     133    8146.6214     805.6718     470.5823     505.6086     508.2902     285.7191     201.3062     232.9973     306.5253    1971.0201     514.1958    1413.5907     931.1140
     134    9556.7732     466.1511     377.3882     539.4632     404.5075     352.0569     305.8098     264.5752     372.9806    3757.9835     597.0049    1381.5361     737.3162
     135    6983.3508     441.6148     257.6167     243.2654     250.5884     305.3785     384.1620     363.1787     307.4834    2094.9794     546.2473    1043.4405     745.3956
     136    7833.3657     473.3342     372.7042     329.3958     384.9152     370.2189     323.6545     301.8562     283.2943    2502.0490     644.9616    1235.6161     611.3655
     137    7893.3863     405.7616     320.2052     322.9857     323.9625     340.2890     327.9977     299.8292     288.2598    2459.6961     637.8542    1322.9999     843.5455
     138    7800.3019     459.7935     358.0990     258.4724     230.7153     234.2635     335.7497     369.6329     383.5197    2687.5952     450.1981    1032.1456    1000.1170
     139    9013.6384     525.3320     594.9608     396.3681     403.8295     297.9056     202.6402     194.2799     231.8921    3010.8289     703.8629    1230.9804    1220.7581
     140    8519.3457     409.3178     317.4444     304.0153     248.5315     246.1541     343.8589     320.1985     341.5947    3162.6846     663.1432    1257.9531     904.4496
     141    7959.2039     518.3942     406.8325     334.0138     294.7978     265.8280     254.4574     212.4758     300.3227    2973.9933     471.3430    1206.3921     720.3534
     142   10162.5692     365.1120     315.5687     358.6606     517.3344     445.2754     499.4464     545.4676     397.5188    3025.5356     572.6595    1882.8714    1237.1189
     143    8067.6565     342.4452     308.0800     425.6949     323.4810     262.6651     219.6115     223.2294     328.4559    2904.6401     675.4547    1334.5803     719.3183
     144    8497.2134     564.1492     411.1756     426.8821     523.7437     462.5395     548.2418     407.3444     340.1805    1974.7999     438.4829    1598.2627     801.4111
     145    8275.2889     477.4205     353.9031     225.2487     199.3005     195.2122     219.6770     327.6071     309.4129    3177.4441     569.6767    1633.4925     586.8938
     146    8110.9178     733.5290     526.4271     297.3584     285.3256     363.4633     372.8302     272.0107     292.5143    2361.3546     617.3435    1379.0619     609.6991
     147    7760.9795     585.5347     646.6494     454.8900     349.1798     239.6542     202.2972     238.9315     408.9893    2102.0437     405.5687    1256.7446     870.4965
     148    8216.4506     510.6777     313.9903     296.8065     324.1289     313.2395     262.5269     258.7699     375.4259    2643.9781     456.0354    1545.9143     914.9572
     149    8148.8659     665.7400     454.0794     412.0665     452.5009     436.0609     334.1541     250.9442     326.4736    2557.6398     481.4832    1080.3887     697.3347
     150    6714.4501     373.5162     286.2203     226.6142     230.8814     256.1445     259.7992     312.4436     455.5580    2258.7121     395.5037    1018.4991     640.5578
     151    7314.9528     401.0173     384.1778     352.2775     396.1555     512.0490     401.4520     271.3726     238.0009    1846.2419     449.4272    1418.2669     644.5142
     152    8408.8005     470.8786     564.8172     326.1527     230.5161     264.5401     278.7725     379.0729     461.9385    3030.2124     572.8474    1114.4008     714.6514
     153    9815.8024     566.0454     386.8427     334.3264     280.9594     296.4780     338.7289     515.2397     387.1709    3675.6346     535.6388    1328.7059    1170.0316
     154   10157.5262     499.0814     356.1660     349.3012     351.4220     456.7249     495.2299     329.5179     371.6547    3767.0661     881.1774    1369.7972     930.3876
     155    8774.1308     429.4643     283.5836     290.0154     327.7954     281.2241     244.1761     263.8441     374.4051    2749.7386     670.7493    1908.5043     950.6305
     156    7948.1643     294.8450     202.8010     178.7635     164.9075     189.9782     192.9235     254.3829     323.6811    3032.6616     697.8162    1502.8853     912.5185
     157    8154.2853     458.5185     478.5043     563.9469     350.7833     276.7241     312.9542     332.7866     356.1137    2912.7141     489.2239     971.7597     650.2562
     158    7228.2790     792.5041     523.1279     415.9225     392.3892     315.3916     240.4671     205.8909     229.4997    1936.3772     453.8436     981.1547     741.7106
     159   10658.1918     438.6075     476.8092     506.4075     500.8791     441.3037     440.0090     574.4316     544.8583    3001.2855     672.3670    1837.8309    1223.4025
     160   10421.1689     601.4478     870.3254     566.0779     358.1021     304.8116     328.0739     406.5321     373.1543    3449.4662     573.3294    1513.1206    1076.7275
     161    7084.9662     550.0501     415.9669     286.1207     196.6692     185.7126     221.3571     333.5687     326.3359    2374.1573     376.3645    1134.0892     684.5739
     162    8813.7106     396.0876     395.1173     415.9139     322.9643     316.9937     429.9311     397.2711     329.3344    3301.8000     532.7119    1270.9628     704.6224
     163    9658.3128     495.8288     508.1084     445.3106     422.6496     500.9269     308.3203     205.2741     235.3594    3442.0923     437.5094    1564.6773    1092.2556
     164    9262.7796     840.2342     631.8648     516.7889     474.2292     281.1128     230.5745     298.9148     307.6755    2966.1833     519.6409    1457.4924     738.0683
     165    9369.0722     478.0488     364.1926     367.3513     422.8821     416.3833     285.5599     259.9959     399.9494    2756.3527     644.6822    1825.0749    1148.5992
     166   10179.8766     718.4581     478.1029     321.8434     323.4858     308.9515     470.2969     723.1371     605.4288    3230.0281     509.7118    1509.4740     980.9581
