#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008     SA_00009     SA_00010     SA_00011     SA_00012     SA_00013
     156    7154.1881     430.0295     370.8791    1460.7686     374.1599     322.7616     290.9034     266.3554     322.1757     225.8609     197.0968    2200.6650     692.5320
     157    8076.4263     415.2219     433.3744    1466.9862     444.1348     311.3779     236.2774     215.1616     259.9145     323.0595     436.1281    2977.6179     557.1721
     158    8100.2535     437.4993     414.6978    1171.4616     342.9327     350.4016     255.4666     219.7829     217.5808     268.4051     353.2968    3249.7563     818.9721
     159    9008.6220     596.4574     355.1022    1354.0765     446.4945     342.0093     354.0685     232.2778     343.8897     356.0165     451.4484    3240.2630     936.5183
     160    8656.3619     423.6885     409.3752    1529.3878     444.7193     338.3105     385.5706     386.3066     453.0052     294.3291     271.3327    2637.2722    1083.0641
     161    7148.4781     444.7330     421.6290    1258.4626     390.7185     301.5747     229.2162     195.3852     198.0368     230.4133     335.9317    2494.3822     647.9950
     162    8097.6724     362.1071     376.1806    1315.8259     418.1268     320.0066     425.4663     347.6708     253.1607     263.3821     346.1044    2921.3472     748.2939
     163    9166.2061     915.9805     447.6864    1460.8595     472.4983     443.2618     356.3320     222.9319     207.3513     244.0618     244.4940    3527.9757     622.7728
     164    8790.5256     565.6475     531.6296    1445.7433     369.9395     268.3909     447.3531     568.9786     443.2540     311.9282     377.4765    2848.2461     611.9381
     165    8459.3496     353.1318     385.7920    1352.3677     496.1279     429.3554     431.0596     403.4481     267.0142     282.2508     566.9982    2856.6954     635.1084
     166   11283.4398     554.6046     422.3803    2418.1744     597.9109     440.2101     507.5430     458.6786     534.2056     557.5664     608.5911    3250.2581     933.3165
     167   10328.4035     425.3967     512.3268    2390.0296     729.8557     357.1009     284.6156     302.8034     317.4863     476.3699     392.3179    3244.6113     895.4895
     168    7349.7504     793.2780     416.2070     840.0034     244.5398     204.8607     209.0640     218.1678     321.4647     308.4196     299.5127    2828.2369     665.9957
     169    9093.2645     376.1942     475.7995    1737.2024     460.3022     294.5754     179.6524     163.1285     158.9522     166.6057     222.3824    3964.3724     894.0971
