#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007
     278    5945.1810     418.2003     499.8510    1183.8155     576.6693    2338.5938     928.0511
     279    5489.6067     618.0469     398.0576    1105.7612     504.8425    2193.0967     669.8018
     280    5328.2002     497.3667     393.9624     977.6009     528.7274    2420.0879     510.4550
     281    6263.8577     327.2921     252.4957    1615.6458     629.6149    2438.6665    1000.1427
     282    5613.1570     334.7414     254.4475    1184.3899     408.9987    2790.6419     639.9375
     283    6487.7904     539.9056     393.9286    1428.7957     367.7975    3117.5631     639.8000
     284    5692.2867     430.9771     427.7254    1302.5690     528.0777    2159.5542     843.3833
     285    6288.4715     416.6697     526.8934    1288.9691     430.2974    2827.1046     798.5371
     286    5125.7652     390.8373     310.6899    1252.1653     501.9596    1978.3659     691.7473
     287    7266.4956     793.4024     378.5190    1585.4732     515.1102    2953.2216    1040.7691
     288    7280.9127     761.2172     369.0293    1595.5552     552.2564    3027.6911     975.1635
     289    6579.2933     683.1930     441.4626    1200.6223     668.3906    2812.3693     773.2555
     290    5339.5107     315.9766     271.5501     921.5487     360.4438    2713.5579     756.4336
     291    6037.8115     497.1651     287.3685     826.2738     363.1577    3205.3732     858.4733
     292    6536.9236     318.8150     364.4216    1465.1806     471.9604    3292.1954     624.3505
     293    5872.1923     366.4330     497.0359    1530.2608     471.1987    2149.1483     858.1156
     294    6478.3079     445.1528     387.0370    1500.4990     466.1073    2766.3087     913.2031
     295    5840.3610     448.3177     366.2768    1429.5994     479.8261    2373.4076     742.9334
     296    6653.9154     531.5033     534.6568    1372.7623     676.9202    2759.3934     778.6794
     297    6297.2753     521.7423     475.3088    1489.6528     556.8102    2367.3410     886.4201
     298    6378.5689     468.1583     435.7393    1618.6769     574.0316    2506.8056     775.1570
     299    7015.9156     399.6485     693.9917    1765.4164     549.0827    2694.4384     913.3379
     300    6265.1393     450.8302     422.7124    1683.0260     550.5340    2260.5957     897.4411
     301    7244.1995     463.5271     416.0901    1719.2175     560.2197    3339.0230     746.1220
     302    5977.7663     353.7096     252.8647    1147.6292     462.3416    3006.1116     755.1096
     303    5817.4061     510.3980     364.0003     889.1771     401.4526    2926.8514     725.5267
     304    8949.6495     643.3986     492.2969    2090.3517     436.7510    4418.8817     867.9696
     305    7358.0258     311.6669     311.7380    1666.4964     527.6902    3721.1164     819.3179
     306    7048.3132     353.2688     315.0824    2024.6628     701.5439    2655.9685     997.7869
     307    7354.7334     446.2025     392.8448    1906.2791     530.8047    3266.8057     811.7966
     308    5291.6483     489.0948     315.7548    1194.5948     450.8489    2353.8289     487.5262
     309    5053.2726     405.4884     294.1389    1343.1167     410.6703    2048.7624     551.0958
     310    6819.7008     514.7350     581.8584    1538.0931     686.2704    2668.5115     830.2325
     311    4836.5765     302.0795     240.2945     909.6606     376.3922    2385.2990     622.8507
     312    6230.3342     676.6186     331.0864    1511.2523     547.3000    2350.3535     813.7234
     313    4700.5463     422.3164     305.2406    1160.9118     426.2006    1811.3719     574.5050
     314    5753.6540     489.5128     338.4724    1277.8190     403.1148    2424.8166     819.9183
     315    5876.5530     515.9456     409.4450     897.8704     378.1283    2909.1656     765.9980
