#Frame         global     SA_00002     SA_00003     SA_00004     SA_00005     SA_00006     SA_00007     SA_00008
     245    7879.3964     506.8155     615.3215     469.7823    3320.3472     409.5254    1730.4898     827.1146
     246    6733.5677     480.0870     391.6405     433.7406    2755.5001     542.8235    1406.5258     723.2500
     247    7335.9245     568.8064     412.5862     370.0597    3349.9727     551.6961    1208.7471     874.0563
     248    6082.1069     898.1291     378.3570     317.5178    2233.1364     442.6175    1053.0359     759.3132
     249    6217.8734     650.5011     431.3447     414.4645    2437.9552     523.6052     982.1003     777.9024
     250    6623.9660     401.2439     435.1274     351.4275    2527.4753     711.6380    1348.4430     848.6109
     251    6449.8836     396.2619     343.8477     286.9457    2697.4350     642.4529    1263.1769     819.7635
     252    6594.4814     510.3584     382.1872     394.7388    3069.8384     464.1563     958.6435     814.5589
     253    6505.0496     685.0064     426.2212     534.9671    2459.5406     419.1694    1258.8698     721.2750
     254    8346.1301     427.0504     423.4370     411.2231    3762.0613     564.7122    1880.6215     877.0247
     255    6911.9877     475.9931     413.9564     370.9085    2839.6500     533.9281    1672.2243     605.3274
     256    6720.0353     466.2114     425.5041     418.2251    2797.7681     546.8327    1297.1907     768.3032
     257    5150.6175     321.6456     223.8530     224.7274    2028.7080     317.2893    1334.6251     699.7691
     258    6572.1575     864.7912     470.0272     362.3027    2384.2225     607.4682    1139.4556     743.8901
     259    7723.3259     955.4098     437.1679     376.3291    3414.0691     588.2578    1198.5877     753.5043
     260    6926.6144     525.6163     375.1261     324.9943    3089.0096     524.3028    1315.0974     772.4678
     261    7493.6115     433.2353     495.0400     802.1260    2583.3077     522.2151    1784.4463     873.2411
     262    4498.7970     319.7897     204.3986     232.8565    1814.4444     345.6859    1100.7440     480.8780
     263    7556.0111     481.4462     465.5556     590.7019    3031.2730     614.0876    1794.1367     578.8102
     264    8065.5283     736.7138     553.8156     443.6816    3788.2033     555.9865    1191.4902     795.6372
     265    5570.4043     423.7373     392.7046     434.6089    2455.4851     300.8234    1021.1507     541.8943
     266    7048.0750     828.9345     474.6184     418.9900    3006.6638     505.2059    1107.7389     705.9236
     267    7423.7288    1216.7842     527.2499     380.8839    2629.8810     591.0028    1326.2562     751.6709
     268    7280.5690     450.5294     349.1579     357.4136    3593.6161     493.7763    1204.5820     831.4936
